[ 2016-09-08T14:06:19+08:00 ]EXCEPTION: syntax error, unexpected ';'
[ 2016-09-08T17:04:57+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:05:47+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:07:48+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:07:56+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:09:09+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:10:40+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:10:56+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:11:06+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:11:13+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:11:20+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:11:30+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:11:38+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:43:51+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:43:58+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:44:14+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T17:44:20+08:00 ]EXCEPTION: Call to undefined function web\home\controller\get()
[ 2016-09-08T18:04:20+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:04:24+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:04:56+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:05:14+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:05:30+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:05:44+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:09:37+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:19:07+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:20:12+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:20:19+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:20:44+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:21:27+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:21:43+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:22:00+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T18:22:18+08:00 ]EXCEPTION: syntax error, unexpected '$action' (T_VARIABLE)
[ 2016-09-08T18:22:26+08:00 ]EXCEPTION: syntax error, unexpected '$action' (T_VARIABLE)
[ 2016-09-08T18:22:44+08:00 ]EXCEPTION: syntax error, unexpected 'dfdd' (T_STRING), expecting function (T_FUNCTION)
[ 2016-09-08T18:24:26+08:00 ]EXCEPTION: syntax error, unexpected 'Controller' (T_STRING)
[ 2016-09-08T20:02:59+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T20:05:13+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T20:08:32+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
[ 2016-09-08T20:21:54+08:00 ]EXCEPTION: syntax error, unexpected '$data' (T_VARIABLE)
